"No.","Time","Source","Destination","Protocol","Length","Info"
"2599","12.475365","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2600","12.478274","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2601","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2602","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2603","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2604","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2605","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2606","12.481894","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2607","12.482212","192.168.43.144","114.125.240.19","UDP","77","57846  >  443 Len=35"
"2608","12.482365","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2609","12.482365","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2610","12.482481","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2611","12.483287","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2612","12.483287","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2613","12.483287","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2614","12.483287","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2615","12.483546","192.168.43.144","114.125.240.19","UDP","78","57846  >  443 Len=36"
"2616","12.485766","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2617","12.486043","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2618","12.492825","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2619","12.493038","192.168.43.144","114.125.240.19","UDP","78","57846  >  443 Len=36"
"2620","12.494260","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2621","12.494260","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2622","12.494260","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2623","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2624","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2625","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2626","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2627","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2628","12.496900","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2629","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
