"No.","Time","Source","Destination","Protocol","Length","Info"
"2339","11.894819","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"2340","11.899052","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2341","11.899945","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2342","11.899945","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2343","11.899945","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2344","11.899945","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2345","11.899945","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2346","11.900371","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2347","11.900371","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2348","11.905740","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2349","11.906001","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2350","11.906147","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2351","11.909012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2352","11.909849","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2353","11.909849","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2354","11.909849","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2355","11.909849","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2356","11.912544","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2357","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2358","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2359","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2360","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2361","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2362","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2363","11.913842","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
